4.344444444444448550e+00,inf,5.000000000000000278e-02
3.502469135802471101e+00,inf,5.000000000000000278e-02
3.320987654320987303e+00,inf,5.000000000000000278e-02
3.328395061728386395e+00,inf,5.000000000000000278e-02
9.790123456790098544e-01,inf,5.000000000000000278e-02
4.519753086419754595e+00,inf,5.000000000000000278e-02
3.370370370370366686e+00,inf,5.000000000000000278e-02
2.833333333333342807e+00,inf,5.000000000000000278e-02
2.996296296296307560e+00,inf,5.000000000000000278e-02
2.482716049382716506e+00,inf,5.000000000000000278e-02
2.213580246913581107e+01,inf,7.499999999999999722e-02
1.989259259259257817e+01,inf,7.499999999999999722e-02
2.045432098765431306e+01,inf,7.499999999999999722e-02
1.990740740740741899e+01,inf,7.499999999999999722e-02
5.281481481481463902e+00,inf,7.499999999999999722e-02
1.517160493827161361e+01,inf,7.499999999999999722e-02
1.759135802469135967e+01,inf,7.499999999999999722e-02
1.680246913580246826e+01,inf,7.499999999999999722e-02
1.338888888888888573e+01,inf,7.499999999999999722e-02
1.958148148148147527e+01,inf,7.499999999999999722e-02
4.871234567901234414e+01,inf,1.000000000000000056e-01
5.279999999999999716e+01,1.340502773637335110e-02,1.000000000000000056e-01
5.570000000000000284e+01,1.361851489435656447e-02,1.000000000000000056e-01
4.547283950617283210e+01,inf,1.000000000000000056e-01
4.752345679012345414e+01,inf,1.000000000000000056e-01
5.164074074074073195e+01,1.289803388550466237e-02,1.000000000000000056e-01
5.270000000000000284e+01,1.299925672407088728e-02,1.000000000000000056e-01
4.941234567901233987e+01,inf,1.000000000000000056e-01
5.189382716049382083e+01,1.325758180810956630e-02,1.000000000000000056e-01
4.449382716049383646e+01,inf,1.000000000000000056e-01
5.134197530864197745e+01,inf,1.250000000000000000e-01
5.117901234567901270e+01,inf,1.250000000000000000e-01
5.855061728395062204e+01,inf,1.250000000000000000e-01
5.147530864197531741e+01,inf,1.250000000000000000e-01
5.406543209876544154e+01,inf,1.250000000000000000e-01
5.233580246913579970e+01,inf,1.250000000000000000e-01
5.116543209876542875e+01,inf,1.250000000000000000e-01
6.628024691358025677e+01,inf,1.250000000000000000e-01
7.318641975308642600e+01,1.068378546747482047e-02,1.250000000000000000e-01
6.395925925925926947e+01,inf,1.250000000000000000e-01
7.709876543209875877e+01,6.865404287264948238e-03,1.499999999999999944e-01
6.985802469135802539e+01,6.412881941730881261e-03,1.499999999999999944e-01
8.440000000000000568e+01,7.646600425851792990e-03,1.499999999999999944e-01
7.698641975308642316e+01,7.522724905117635086e-03,1.499999999999999944e-01
6.579382716049383362e+01,inf,1.499999999999999944e-01
6.864938271604937370e+01,6.811051489316151224e-03,1.499999999999999944e-01
7.572592592592592098e+01,6.212938420938512660e-03,1.499999999999999944e-01
6.064444444444444571e+01,inf,1.499999999999999944e-01
7.509999999999999432e+01,5.912863839945303387e-03,1.499999999999999944e-01
7.801234567901234129e+01,7.197204020242660427e-03,1.499999999999999944e-01
5.910987654320987161e+01,4.852077146886349217e-03,1.749999999999999889e-01
4.702098765432097593e+01,inf,1.749999999999999889e-01
6.789259259259257817e+01,5.480869294268157776e-03,1.749999999999999889e-01
4.064197530864197461e+01,inf,1.749999999999999889e-01
5.924691358024691112e+01,4.842007910484979680e-03,1.749999999999999889e-01
4.862222222222221291e+01,inf,1.749999999999999889e-01
5.821728395061729344e+01,4.827324713101513627e-03,1.749999999999999889e-01
5.785925925925926805e+01,inf,1.749999999999999889e-01
4.153950617283950919e+01,3.464984208726327834e-03,1.749999999999999889e-01
5.029012345679011275e+01,inf,1.749999999999999889e-01
5.673827160493826227e+01,3.473240601350866506e-03,2.000000000000000111e-01
6.042839506172839492e+01,inf,2.000000000000000111e-01
3.699629629629629335e+01,inf,2.000000000000000111e-01
7.073827160493827648e+01,4.500802047034443108e-03,2.000000000000000111e-01
6.374197530864197603e+01,3.987244354689127926e-03,2.000000000000000111e-01
6.306790123456789843e+01,3.943179339494745465e-03,2.000000000000000111e-01
9.290000000000000568e+01,5.981411123101554837e-03,2.000000000000000111e-01
7.644691358024691397e+01,inf,2.000000000000000111e-01
3.680246913580246826e+01,inf,2.000000000000000111e-01
6.966049382716047944e+01,4.426954699653555016e-03,2.000000000000000111e-01
4.787160493827160934e+01,inf,2.250000000000000056e-01
5.678395061728394921e+01,inf,2.250000000000000056e-01
5.416790123456791406e+01,inf,2.250000000000000056e-01
4.943580246913579401e+01,inf,2.250000000000000056e-01
2.683086419753086815e+01,inf,2.250000000000000056e-01
4.602345679012345414e+01,inf,2.250000000000000056e-01
4.911604938271604937e+01,inf,2.250000000000000056e-01
2.884938271604938009e+01,inf,2.250000000000000056e-01
5.495432098765431306e+01,inf,2.250000000000000056e-01
5.014814814814815236e+01,inf,2.250000000000000056e-01
2.845185185185185617e+01,inf,2.500000000000000000e-01
3.334814814814815520e+01,inf,2.500000000000000000e-01
5.018641975308641889e+01,1.877023635631740834e-03,2.500000000000000000e-01
4.079135802469135541e+01,inf,2.500000000000000000e-01
4.187530864197530889e+01,inf,2.500000000000000000e-01
5.339012345679011418e+01,inf,2.500000000000000000e-01
5.792222222222221717e+01,2.281934861068045210e-03,2.500000000000000000e-01
5.638765432098764308e+01,2.274812793315028874e-03,2.500000000000000000e-01
2.533333333333333215e+01,inf,2.500000000000000000e-01
4.669259259259259665e+01,inf,2.500000000000000000e-01
4.843703703703702956e+01,inf,2.750000000000000222e-01
5.115802469135800834e+01,inf,2.750000000000000222e-01
5.045185185185184906e+01,inf,2.750000000000000222e-01
4.993456790123457267e+01,inf,2.750000000000000222e-01
1.919012345679012554e+01,inf,2.750000000000000222e-01
3.180246913580246826e+01,inf,2.750000000000000222e-01
3.366296296296296475e+01,inf,2.750000000000000222e-01
3.566913580246912829e+01,inf,2.750000000000000222e-01
2.884320987654320945e+01,inf,2.750000000000000222e-01
4.998641975308640895e+01,inf,2.750000000000000222e-01
4.654691358024690828e+01,inf,2.999999999999999889e-01
4.235308641975309030e+01,inf,2.999999999999999889e-01
3.270123456790122418e+01,inf,2.999999999999999889e-01
3.711358024691358537e+01,inf,2.999999999999999889e-01
3.725308641975308888e+01,inf,2.999999999999999889e-01
4.105925925925924957e+01,inf,2.999999999999999889e-01
5.304320987654322295e+01,inf,2.999999999999999889e-01
4.345802469135801971e+01,inf,2.999999999999999889e-01
2.769012345679011489e+01,inf,2.999999999999999889e-01
3.247407407407407476e+01,inf,2.999999999999999889e-01
